nome,telefone,site,endereco,avaliacoes,nota,categoria
Orsi Academia,(47) 3513-4449,https://m.facebook.com/orsiacademia/?locale2=pt_BR,"Orsi Academia - Av. Das Comunidades, 869 - Santa Terezinha, Gaspar - SC, 89114-033",219,4.800000,Gym
Boost Treinamento Personalizado,(47) 99934-4319,,"Boost Treinamento Personalizado - R. Cecilia Joana Schneider Krauss, 81 - Sala 04 - Sete de Setembro, Gaspar - SC, 89114-880",35,4.900000,Gym
Like Fitness Academia,(47) 3332-9799,https://likefitness.com.br/,"Like Fitness Academia - R. Cel. Aristiliano Ramos, 190 - Centro, Gaspar - SC, 89114-442",47,4.500000,Gym
Like Acqua Academy,(47) 3332-9799,http://www.likefitness.com.br/,"Like Acqua Academy - R. Industrial L. Schmalz, 225 - Sete de Setembro, Gaspar - SC, 89114-742",166,4.700000,Fitness center
Academia Expressão Corporal,(47) 98826-5266,https://www.facebook.com/AcademiaExpressaoCorporal/,"Academia Expressão Corporal - R. Manoel Bitencourt, 387 - Sete de Setembro, Gaspar - SC, 89114-758",87,4.800000,Gym
CT Jefferson Silva,(47) 99604-5983,,"CT Jefferson Silva - R. Itajaí, 470 - Sete de Setembro, Gaspar - SC, 89115-001",39,4.900000,Gym
Academia Thai Gaspar,(47) 99124-2382,https://instagram.com/thaigasparmusculacao,"Academia Thai Gaspar - R. Arnoldo Schramm, 150 - Centro, Gaspar - SC, 89110-097",130,4.900000,Gym
Blulive Academia,(47) 99668-9455,,"Blulive Academia - R. Anfilóquio Nunes Píres, 833 - Figueira, Gaspar - SC, 89110-350",111,4.900000,Fitness center
Pamps Academia,(47) 3332-5868,https://www.instagram.com/pampsacademia/,"Pamps Academia - R. Pref. Leopoldo Schramm, 64 - Coloninha, Gaspar - SC, 89110-119",53,5.000000,Gym
Academia Like,(47) 3332-9799,,"Academia Like - R. Dr. Nereu Ramos, 591 - Coloninha, Gaspar - SC, 89110-000",59,4.500000,Gym
Centro de Treinamento Moving Body,(47) 99929-6736,https://www.instagran.com/instituto.movingbody,"Centro de Treinamento Moving Body - R. Doralício García, 701 - Centro, Gaspar - SC, 89110-000",45,5.000000,Gym
PUNCH BOXING CLUB - CLUBE DE BOXE,,,"PUNCH BOXING CLUB - CLUBE DE BOXE - R. Douglas Alexandre - Centro, Gaspar - SC, 89110-091",40,4.900000,Boxing gym
Ct Cleiton Costa,(47) 99711-1227,,"Ct Cleiton Costa - R. Alberto Francisco Junkes, 72 - Santa Terezinha, Gaspar - SC, 89114-238",130,4.800000,Gym
Nossa Forma Gaspar,(47) 98802-7423,https://www.nossaformaoficial.com.br/,"Nossa Forma Gaspar - R. São José, 300 - Sete de Setembro, Gaspar - SC, 89110-010",33,4.900000,Vitamin & supplements store
Jaguar Cross,(47) 99180-9843,,"Jaguar Cross - R. Frei Solano, 284 - Gasparinho, Gaspar - SC, 89112-030",46,4.800000,Gym
Daiana Oneda Treinamento Personalizado,(47) 3332-2784,,"Daiana Oneda Treinamento Personalizado - R. Jaime Matias Rainert, 10 - Margem Esquerda, Gaspar - SC, 89116-760",2,5.000000,Personal trainer
Duda Soares Personal Trainer,(47) 99624-1847,https://linktr.ee/dudasoares_personal,"Duda Soares Personal Trainer - R. José Zuchi, 289 - Santa Terezinha, Gaspar - SC, 89114-258",6,5.000000,Personal trainer
Personal Trainer Rafa,(48) 99920-8270,https://www.instagram.com/rafatrainer.ra/,"Personal Trainer Rafa - R. Barão do Rio Branco - Santa Terezinha, Gaspar - SC, 89114-214",20,5.000000,Personal trainer
Alex Ferrari Personal,(47) 99126-7058,https://alex-ferrari-personal.ueniweb.com/?utm_campaign=gmb,"Alex Ferrari Personal - R. 25 de Dezembro, 244 - Sete de Setembro, Gaspar - SC, 89114-856",3,5.000000,Personal trainer
Fabi Ribeiro - Personal Trainer e Nutri,(47) 99715-2125,http://www.instagram.com/fabiribeiropersonal,"Fabi Ribeiro - Personal Trainer e Nutri - R. Dona Madalena - Santa Terezinha, Gaspar - SC, 89114-281",15,5.000000,Weight loss service
DO Treinamento Personalizado,(47) 98923-4395,https://www.facebook.com/daianaoneda.treinamento.personalizado,"DO Treinamento Personalizado - R. Dr. Nereu Ramos, 201 - Coloninha, Gaspar - SC, 89110-000",1,5.000000,Fitness center
Studio Manoel da Silveira,(47) 98457-4408,http://wa.me/5547984574408,"Studio Manoel da Silveira - R. Itajaí, 657 - Sete de Setembro, Gaspar - SC, 89115-001",19,5.000000,Gym
Personal Tavares,,,"Personal Tavares - R. Angêlo Moser, 80 - Santa Terezinha, Gaspar - SC, 89114-228",4,5.000000,Personal trainer
Personal Trainer Heitor Sales,(48) 99643-1777,https://www.instagram.com/heitorsales_personal,"Personal Trainer Heitor Sales - Av. Das Comunidades, 869 - Santa Terezinha, Gaspar - SC, 89114-288",69,5.000000,Personal trainer
Personal Trainer Gerônimo Albanaes,(47) 99281-3510,,"Personal Trainer Gerônimo Albanaes - Av. Das Comunidades, 869 - Santa Terezinha, Gaspar - SC, 89114-288",5,5.000000,Personal trainer
